ticker,ref_price,book_gaps,A_tick,A_bps_per_tick,A_n_snapshots,A_spread_ticks_p1,A_spread_ticks_p5,A_spread_ticks_p25,A_spread_ticks_p50,A_spread_ticks_p75,A_spread_ticks_p90,A_spread_ticks_p95,A_spread_ticks_p99,A_spread_ticks_mean,A_spread_ticks_max,A_spread_bps_p1,A_spread_bps_p5,A_spread_bps_p25,A_spread_bps_p50,A_spread_bps_p75,A_spread_bps_p90,A_spread_bps_p95,A_spread_bps_p99,A_spread_bps_mean,A_spread_bps_max,A_share_spread_eq_1_tick,A_share_spread_le_2_ticks,A_share_spread_ge_5_ticks,B_as350_hi_bps,B_as350_lo_bps,B_fork_delta350_bps,B_as1s_hi_bps,B_as10s_hi_bps,B_halfspread_p50_tw_bps,B_edge_bps,B_n_events,B_valid_m0_share,B_negative_lag_share_commit,C_n_trades,C_trades_per_day,C_base_volume_total,C_notional_total_usd,C_notional_per_day_usd,C_trade_usd_p1,C_trade_usd_p5,C_trade_usd_p25,C_trade_usd_p50,C_trade_usd_p75,C_trade_usd_p90,C_trade_usd_p95,C_trade_usd_p99,C_trade_usd_mean,C_trade_usd_max,C_taker_buy_share_count,C_taker_buy_share_notional,D_n_taker_orders,D_sweep_share_notional,D_sweep_share_count,D_sweep_share_notional_acct_block,D_algo_twap_share_notional,D_liq_share_notional,D_sweep_share_notional_buy,D_sweep_share_notional_sell,D_sweep_depth_bps_p50,D_sweep_depth_bps_p90,D_sweep_levels_p50,D_sweep_levels_p90,D_legs_p50,D_legs_p90,D_legs_p99,D_legs_max,E_obs_days,E_seconds_observed,E_jumps_gt20bps_per_day,E_jumps_gt50bps_per_day,E_max_1s_move_bps,E_range_bps_p99,F_n_makers,F_n_makers_gt1pct,F_top1_maker_share,F_top3_maker_share,F_maker_hhi,F_top1_maker_purity,F_system_maker_share,F_premium_tier_share,F_n_fee_tiers,F_l1_requote_p50_s,F_l1_requote_p90_s,G_order_usd,G_touch_bid_usd_p25,G_touch_bid_usd_p50,G_touch_bid_usd_p75,G_touch_ask_usd_p25,G_touch_ask_usd_p50,G_touch_ask_usd_p75,G_touch_usd_p50,G_queue_share_p50
ADA,0.163,5,1e-05,0.6135,1858472,1.0,4.0,9.0,12.0,15.0,20.0,23.0,30.0,12.6,199.0,0.622,2.487,5.527,7.295,9.418,12.148,14.04,18.614,7.732,127.079,0.0,0.0234,0.9272,1.178,1.196,-0.017,1.319,1.846,3.323,2.144,7538,0.9942,0.217,8733,1306.2,38498046.9,6251205.09,934963.66,0.08,10.09,34.85,99.89,675.12,1508.13,2190.7,9969.97,715.81,95408.61,0.4965,0.5235,7582,0.2206,0.0448,0.2282,0.0,0.0026,0.1672,0.2796,1.9,7.47,2.0,3.0,1.0,1.0,3.0,16,6.686,449778,9.87,0.45,66.19,5.377,67,13,0.36,0.7006,0.2262,0.8867,0.2773,0.3292,8,0.201,4.953,500,1501.2,3662.0,3820.8,1455.3,3634.6,3843.3,2756.2,0.1536
TAO,199.113,5,0.001,0.0502,4343311,31.0,49.0,77.0,98.0,119.0,140.0,154.0,192.0,99.5,1235.0,1.569,2.45,3.844,4.89,5.968,6.989,7.669,9.595,4.976,60.343,0.0,0.0008,0.9988,0.687,0.735,-0.048,0.894,1.326,2.417,1.73,8641,0.9942,0.058,10460,1564.5,13448.81,2669532.55,399269.27,0.43,1.6,37.84,100.72,199.99,450.39,1000.07,2752.0,255.21,14308.02,0.5086,0.4768,8691,0.4953,0.0693,0.4968,0.0,0.0053,0.4849,0.5049,1.71,5.93,2.0,5.0,1.0,2.0,4.0,25,6.686,566150,9.87,1.05,100.67,4.401,62,16,0.2259,0.569,0.1327,1.0,0.2431,0.0254,9,0.052,1.006,500,249.9,675.1,1524.4,250.0,250.1,1508.3,878.3,0.3628
TIA,0.4026,5,1e-05,0.2484,2435164,15.0,27.0,43.0,55.0,69.0,80.0,88.0,110.0,57.1,1108.0,3.899,6.833,10.924,13.899,17.397,20.006,21.695,27.401,14.308,275.054,0.0,0.0013,0.9978,2.248,2.249,-0.001,2.492,3.488,6.731,4.483,1910,0.979,0.181,2591,387.5,2421577.2,967523.32,144708.08,0.19,9.03,29.0,100.01,499.08,853.23,1000.73,4446.91,373.42,20035.0,0.5828,0.691,1951,0.3015,0.0774,0.2979,0.0,0.0,0.2027,0.5224,1.99,9.63,2.0,3.0,1.0,2.0,4.0,10,6.686,540968,58.93,6.13,110.24,7.089,26,8,0.5098,0.8561,0.3456,0.7506,0.4834,0.0762,5,0.333,1.956,500,560.6,587.5,612.4,587.3,602.8,622.1,595.3,0.4565
VIRTUAL,0.6092,92,1e-05,0.1641,2586440,19.0,39.0,66.0,83.0,103.0,121.0,134.0,163.0,85.0,1380.0,3.261,6.554,11.153,13.856,16.697,19.521,21.463,26.087,14.019,246.583,0.0,0.0013,0.9979,1.255,1.188,0.067,1.367,1.601,6.546,5.292,4592,0.9918,0.097,5403,808.1,2611514.3,1550619.42,231918.97,0.06,0.54,14.15,30.39,128.95,680.46,1000.64,5498.03,286.99,31789.82,0.5501,0.4744,4630,0.3032,0.0367,0.3069,0.0,0.0586,0.2405,0.3666,3.07,11.05,2.0,3.0,1.0,2.0,3.0,9,6.686,527006,51.15,8.08,95.76,7.811,42,8,0.3112,0.6539,0.1837,0.8726,0.1868,0.2085,7,0.249,2.0,500,912.0,1032.2,8947.0,1013.4,8088.0,9119.5,4988.4,0.0911
