,sigma,kappa,gamma,T,Q,total_pnl,sharpe_annualized,max_drawdown,spread_capture_usd,inv_mtm_usd,identity_gap_usd,inv_mtm_grid_error_usd,spread_capture_pct,inv_mtm_pct,net_edge_per_fill_bps,markout_30s_bps,net_edge_ci_lo,net_edge_ci_hi,capture_share_of_variance,corr_hourly_pnl_return,n_fills,n_bid_fills,n_ask_fills,fill_imbalance,turnover,turnover_usd,capture_yield_bps,avg_inventory,std_inventory,max_abs_inventory,mean_abs_inventory,p90_abs_inventory,time_at_90pct_max_inv_pct,median_excursion_min,zero_crossings_per_day,worst_unrealized_usd,n_jumps,pnl_in_jump_windows_usd,pnl_in_jump_windows_pct,worst_hour_usd,p5_hourly_usd,two_sided_uptime_pct,quote_updates_min_p50,quote_updates_min_p95
0,0.02355,23.06,0.02,600,0.01,8.07215323599,1.9324931322627767,-20.31130964374,1.350613236074999,6.72154,-8.499956294372168e-11,-0.4418850000000143,16.73175913030539,83.26824087074762,1.5036906593754544,-0.5879221082173255,1.1191476476595341,1.8893846614375154,0.9482755981993642,-0.41991781022712366,3519,1872,1647,0.0639386189258312,32.651999999999994,6482.844458066821,2.0833651722036697,-0.45058388108573344,1.0834938407894803,2.314,1.003681121297476,1.902,2.9255050505050506,45.43333333333333,0.909091865626963,-7.510989416015465,117,8.291066914381993,102.71196138120817,-7.22288439058,-1.6765814581018001,99.96222643097643,8.0,13.0
1,0.02355,23.06,0.02,600,0.1,43.6176619023,5.94548593354113,-33.7189309506,10.637116900595064,32.980544999999964,1.7049757161657908e-09,-4.610861999999976,24.38717812160894,75.61282187448215,1.4338677409259903,-0.5908479476433054,0.9833128115123286,1.8156521884021748,0.9420045028186068,-0.06444887327876637,3363,1736,1627,0.03241153731787095,268.803,53338.0881554374,1.9942816228426616,0.2582695173290375,2.06651346865039,7.468,1.5639918444779508,3.5,0.8460648148148148,86.14166666666667,3.4545490893824593,-15.839859165845132,117,18.352697464464363,42.07629814173191,-8.481376002600001,-2.8825058698399957,99.97306397306397,8.0,13.0
2,0.02355,23.06,0.02,2000,0.01,7.32814931767,4.17115542503007,-8.5240802716,1.2126708176739953,6.115478500000004,-3.998579245489964e-12,-0.44458200000001113,16.54811829161208,83.45188170844249,1.772975288108278,-0.44070524956973206,1.3475226746392386,2.205739911934639,0.9415078400110926,-0.2062203241419568,2960,1539,1421,0.03986486486486487,27.708,5500.263137213028,2.2047505499681477,-0.01206976438316963,0.47818947507740134,1.219,0.3912936440379251,0.766,2.3184974747474745,793.9583333333334,1.818183731253926,-2.9916278766533435,117,3.667240730280458,50.043204243093456,-2.63785308884,-0.6717163415352001,99.96969696969697,8.0,13.0
4,0.02355,23.06,0.05,600,0.01,7.05781466507,3.1463973173737885,-11.214921333981,1.2506836651750106,5.807131000000003,-1.0501288727482461e-10,-0.4554785000000061,17.720551254551907,82.27944874693598,1.6207544114217667,-0.5620591661840287,1.1924534106618367,2.0097355299098654,0.9440094615182711,-0.27393070776347517,3105,1626,1479,0.04734299516908213,28.978999999999996,5753.450946153663,2.173797390262146,-0.08270406744956599,0.6042792368852825,1.385,0.524803764524163,1.006,2.3551136363636362,118.38333333333334,1.0909102387523557,-4.425775404482007,117,4.5906788633404005,65.04391346602284,-3.6347545610899994,-0.8550943622140006,99.96569865319866,8.0,13.0
6,0.02355,23.06,0.05,2000,0.01,7.20859074544,9.194461485433019,-3.41513652316,0.9721332453680038,6.2364575,7.199574270089215e-11,-0.4331645000000055,13.485759973028772,86.51424002597248,1.859696831026346,-0.5551128253768461,1.3170044545670898,2.3972193675770352,0.9405280743897118,-0.2536436156470861,2147,1107,1040,0.0312063344201211,20.291,4028.995513983148,2.412842709787316,-0.026025085253667143,0.2114332203900499,0.756,0.16501751685344787,0.355,0.12131734006734006,2172.95,2.090911290942015,-1.3425799553709925,117,3.4666325519823524,48.09029496056868,-1.0907324109600003,-0.30704765597680006,99.97979797979798,8.0,13.0
