ticker,ref_price,book_gaps,A_tick,A_bps_per_tick,A_n_snapshots,A_spread_ticks_p1,A_spread_ticks_p5,A_spread_ticks_p25,A_spread_ticks_p50,A_spread_ticks_p75,A_spread_ticks_p90,A_spread_ticks_p95,A_spread_ticks_p99,A_spread_ticks_mean,A_spread_ticks_max,A_spread_bps_p1,A_spread_bps_p5,A_spread_bps_p25,A_spread_bps_p50,A_spread_bps_p75,A_spread_bps_p90,A_spread_bps_p95,A_spread_bps_p99,A_spread_bps_mean,A_spread_bps_max,A_share_spread_eq_1_tick,A_share_spread_le_2_ticks,A_share_spread_ge_5_ticks,B_as350_hi_bps,B_as350_lo_bps,B_fork_delta350_bps,B_as1s_hi_bps,B_as10s_hi_bps,B_halfspread_p50_tw_bps,B_edge_bps,B_n_events,B_valid_m0_share,B_negative_lag_share_commit,C_n_trades,C_trades_per_day,C_base_volume_total,C_notional_total_usd,C_notional_per_day_usd,C_trade_usd_p1,C_trade_usd_p5,C_trade_usd_p25,C_trade_usd_p50,C_trade_usd_p75,C_trade_usd_p90,C_trade_usd_p95,C_trade_usd_p99,C_trade_usd_mean,C_trade_usd_max,C_taker_buy_share_count,C_taker_buy_share_notional,D_n_taker_orders,D_sweep_share_notional,D_sweep_share_count,D_sweep_share_notional_acct_block,D_algo_twap_share_notional,D_liq_share_notional,D_sweep_share_notional_buy,D_sweep_share_notional_sell,D_sweep_depth_bps_p50,D_sweep_depth_bps_p90,D_sweep_levels_p50,D_sweep_levels_p90,D_legs_p50,D_legs_p90,D_legs_p99,D_legs_max,E_obs_days,E_seconds_observed,E_jumps_gt20bps_per_day,E_jumps_gt50bps_per_day,E_max_1s_move_bps,E_range_bps_p99,F_n_makers,F_n_makers_gt1pct,F_top1_maker_share,F_top3_maker_share,F_maker_hhi,F_top1_maker_purity,F_system_maker_share,F_premium_tier_share,F_n_fee_tiers,F_l1_requote_p50_s,F_l1_requote_p90_s,G_order_usd,G_touch_bid_usd_p25,G_touch_bid_usd_p50,G_touch_bid_usd_p75,G_touch_ask_usd_p25,G_touch_ask_usd_p50,G_touch_ask_usd_p75,G_touch_usd_p50,G_queue_share_p50
PUMP,0.0014,0,1e-06,7.125,186391,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.7,6.0,6.875,6.928,7.166,14.174,14.327,14.399,14.44,21.482,12.044,42.918,0.0,0.4711,0.0,0.19,0.191,-0.001,0.178,0.212,7.092,6.902,7456,0.9933,0.3,7602,9373.1,284260557.0,403509.96,497520.39,0.16,0.16,0.16,0.16,0.64,0.66,15.99,1000.34,53.08,26537.72,0.9658,0.3813,7506,0.2112,0.0017,0.2112,0.0,0.1262,0.057,0.3304,6.97,7.19,2.0,2.0,1.0,1.0,1.0,11,0.811,68748,24.66,2.47,57.1,7.156,28,8,0.4666,0.8069,0.2988,1.0,0.3864,0.2149,7,0.698,14.251,,,,,,,,,
SEI,0.0492,0,1e-05,2.0342,157208,1.0,3.0,4.0,5.0,5.0,6.0,7.0,8.0,4.6,19.0,2.037,6.044,8.114,10.043,10.209,12.24,14.215,16.3,9.284,38.787,0.0,0.0409,0.4436,0.484,0.47,0.015,0.574,0.919,4.081,3.597,351,0.8775,0.057,409,504.3,1074031.3,52863.11,65180.25,1.22,12.0,14.01,25.35,82.77,488.98,814.78,1133.52,129.25,2007.38,0.6357,0.5886,400,0.1144,0.0125,0.1237,0.0,0.0076,0.0414,0.2206,2.04,5.64,2.0,2.0,1.0,1.0,2.0,2,0.811,55591,1.23,0.0,30.4,4.073,4,1,0.9865,0.9977,0.9733,0.7622,0.388,0.0081,4,0.547,12.393,,,,,,,,,
SUI,0.7375,0,1e-05,0.1356,376052,10.0,16.0,24.0,33.0,43.0,52.0,60.0,77.0,34.6,227.0,1.348,2.16,3.288,4.514,5.799,7.124,8.123,10.513,4.714,31.207,0.0,0.0011,0.9969,1.133,1.1,0.034,1.22,1.722,2.083,0.95,333,0.8928,0.164,441,543.7,282562.5,207782.41,256190.88,6.88,10.6,19.39,149.95,449.66,999.76,1570.47,5159.31,471.16,15006.76,0.424,0.4408,373,0.5276,0.0777,0.5277,0.0,0.002,0.6285,0.4479,0.42,5.37,2.0,4.2,1.0,1.8,4.0,7,0.811,66829,2.47,0.0,27.3,3.014,15,6,0.4071,0.8449,0.2861,0.9255,0.4924,0.0041,6,0.15,1.449,,,,,,,,,
TAO,209.408,0,0.001,0.0478,502147,34.0,47.0,75.0,98.0,120.0,141.0,152.0,174.0,98.4,474.0,1.615,2.24,3.578,4.681,5.748,6.735,7.243,8.32,4.697,22.56,0.0,0.0008,0.9986,0.527,0.578,-0.051,0.671,1.155,2.334,1.807,922,0.9486,0.104,1033,1273.7,895.92,188569.92,232502.19,0.43,0.43,11.9,39.92,199.88,249.93,724.33,2344.39,182.55,10189.32,0.5295,0.5352,972,0.3008,0.0278,0.3009,0.0,0.0,0.3529,0.2408,1.9,4.63,2.0,5.4,1.0,1.0,3.0,6,0.811,68618,1.23,0.0,20.26,4.139,17,9,0.3068,0.7761,0.2152,1.0,0.3295,0.1717,8,0.051,0.922,500.0,250.0,1505.1,1551.4,250.0,250.1,1531.7,891.4,0.3593
TIA,0.4053,0,1e-05,0.2468,297791,12.0,25.0,38.0,47.0,55.0,63.0,69.0,82.0,46.8,260.0,2.973,6.164,9.408,11.63,13.599,15.558,16.956,20.304,11.564,65.112,0.0,0.0035,0.9945,1.311,1.279,0.032,1.544,3.216,5.462,4.152,305,0.8815,0.178,380,468.5,244611.0,99227.74,122345.77,5.35,11.52,29.08,100.08,272.88,644.77,1000.36,1526.74,261.13,3047.49,0.6605,0.5683,346,0.2523,0.0723,0.2527,0.0,0.0,0.1489,0.3885,0.98,8.07,2.0,3.0,1.0,1.0,3.0,4,0.811,65603,28.36,0.0,46.45,6.558,8,4,0.6294,0.9102,0.4439,0.926,0.5283,0.0921,4,0.399,1.902,500.0,617.5,836.8,1176.6,612.5,618.0,629.3,786.6,0.3886
TRUMP,1.5729,5,0.0001,0.6358,185986,2.0,4.0,7.0,9.0,11.0,13.0,14.0,16.0,9.3,110.0,1.288,2.573,4.482,5.748,7.016,8.246,8.879,10.237,5.88,71.193,0.0,0.0095,0.9157,2.759,2.651,0.108,2.327,0.141,2.863,0.104,186,0.8378,0.096,286,352.6,84373.9,133262.85,164309.92,0.08,9.44,69.56,149.98,747.9,999.83,1320.84,3037.13,465.95,7840.0,0.3427,0.1646,222,0.318,0.1081,0.3284,0.0,0.0413,0.5627,0.2675,2.15,7.02,2.0,2.7,1.0,2.0,2.79,4,0.811,58522,13.56,2.47,110.72,5.71,12,6,0.5569,0.8001,0.3526,0.3857,0.4415,0.0644,5,0.396,6.746,,,,,,,,,
VIRTUAL,0.599,9,1e-05,0.1669,304792,21.0,43.0,65.0,77.0,91.0,104.0,113.0,139.0,78.1,490.0,3.489,7.268,10.902,12.898,15.125,17.302,18.856,23.045,13.004,82.262,0.0,0.0008,0.9983,0.772,0.768,0.004,0.81,1.193,6.07,5.298,943,0.9613,0.13,1039,1281.1,358599.7,214164.77,264060.63,0.06,0.36,4.67,21.67,68.93,432.8,999.56,4773.75,206.13,9813.13,0.3994,0.4392,981,0.5385,0.0398,0.5424,0.0,0.0003,0.6841,0.4244,2.62,11.86,2.0,2.4,1.0,1.0,2.0,8,0.811,64061,33.29,0.0,39.78,7.376,12,6,0.3705,0.8076,0.2562,0.9645,0.213,0.0102,7,0.199,2.448,500,1054.0,1111.4,1250.2,1177.5,1254.7,9274.6,5124.6,0.0889
WIF,0.1503,23,1e-05,0.6654,187845,2.0,5.0,10.0,14.0,19.0,22.0,24.0,29.0,14.6,85.0,1.329,3.333,6.66,9.373,12.64,14.656,16.011,19.348,9.709,56.744,0.0,0.0124,0.9479,3.007,2.931,0.076,3.031,3.078,4.657,1.65,87,0.6541,0.159,145,178.8,292967.2,44457.72,54815.69,0.74,2.72,12.9,45.47,299.93,999.74,999.94,1663.18,306.6,4280.22,0.3379,0.3123,133,0.0872,0.0451,0.0872,0.0,0.0884,0.2278,0.0139,3.32,9.79,2.0,2.0,1.0,1.0,2.0,2,0.811,58413,2.47,0.0,25.02,4.665,8,4,0.4391,0.945,0.3605,0.2908,0.5786,0.0207,3,0.199,5.15,,,,,,,,,
WLD,0.4082,0,1e-05,0.245,273102,3.0,9.0,16.0,21.0,26.0,32.0,36.0,46.0,21.5,193.0,0.695,2.246,3.965,5.035,6.305,7.742,8.736,11.024,5.221,48.508,0.0,0.0092,0.9827,1.39,1.392,-0.002,1.597,2.683,2.369,0.979,1722,0.9795,0.048,2309,2847.0,1481580.8,613217.46,756086.98,0.12,2.57,24.9,199.7,263.14,474.81,999.63,2113.67,265.58,12258.34,0.5141,0.44,1758,0.4655,0.1559,0.4674,0.0,0.0162,0.465,0.4658,1.33,6.31,2.0,5.0,1.0,2.0,6.0,9,0.811,58271,22.19,2.47,131.51,6.957,25,13,0.2785,0.605,0.1607,1.0,0.357,0.0374,8,0.1,1.902,,,,,,,,,
XMR,327.517,0,0.001,0.0305,237765,49.0,137.0,234.0,270.0,303.0,332.0,349.0,392.0,262.7,993.0,1.489,4.17,7.17,8.259,9.252,10.154,10.638,11.972,8.028,30.373,0.0,0.0017,0.998,3.088,2.624,0.464,3.906,5.11,4.082,0.994,376,0.8931,0.134,510,628.8,741.85,242729.29,299282.49,4.88,11.66,59.26,278.5,680.36,999.54,1558.61,2238.42,475.94,6660.64,0.4176,0.4337,421,0.4825,0.1425,0.511,0.0,0.0011,0.6014,0.3913,2.1,4.71,2.0,3.0,1.0,2.0,3.0,5,0.811,57565,4.93,0.0,37.09,3.482,16,6,0.6562,0.9292,0.4695,1.0,0.4001,0.0194,7,0.054,2.298,,,,,,,,,
ZEC,521.1105,0,0.001,0.0192,835131,2.0,46.0,122.0,173.0,224.0,268.0,294.0,338.0,172.7,1700.0,0.037,0.884,2.333,3.321,4.31,5.134,5.63,6.472,3.309,31.531,0.0,0.0102,0.9875,0.699,0.721,-0.022,1.007,1.013,1.643,0.944,11132,0.9958,0.463,14106,17392.3,17144.2,9019160.37,11120401.83,0.51,0.51,34.51,59.78,249.93,1000.04,2854.98,14989.83,639.38,76794.9,0.5575,0.5396,11180,0.4382,0.0973,0.4726,0.0305,0.0037,0.3876,0.497,0.45,3.49,2.0,4.0,1.0,2.0,5.0,41,0.811,70056,29.59,2.47,108.12,5.717,82,16,0.258,0.5285,0.1286,0.8882,0.118,0.3035,10,0.052,0.752,,,,,,,,,
ZRO,0.9035,2,1e-05,0.1107,297648,1.0,12.0,44.0,68.0,92.0,112.0,125.0,157.0,68.5,712.0,0.11,1.321,4.847,7.534,10.298,12.443,13.88,17.396,7.632,80.657,0.0,0.0226,0.9678,3.503,3.12,0.383,4.12,5.118,3.477,-0.026,1370,0.973,0.158,1701,2097.3,222838.5,199958.57,246547.58,0.09,4.45,15.46,35.18,103.66,239.96,454.0,1191.62,117.55,8021.61,0.4192,0.5869,1408,0.4704,0.1222,0.4885,0.0,0.0,0.5121,0.411,2.1,13.35,2.0,3.0,1.0,2.0,4.0,8,0.811,63260,18.49,6.16,72.4,4.047,20,12,0.2166,0.6144,0.1578,1.0,0.3665,0.1666,6,0.054,1.702,,,,,,,,,
