ticker,ref_price,A_spread_ticks_p50,A_spread_bps_p50,B_as350_hi_bps,B_edge_bps,C_n_trades,C_trades_per_day,C_notional_per_day_usd,D_sweep_share_notional,E_obs_days,E_jumps_gt20bps_per_day,F_top1_maker_share,F_l1_requote_p50_s,G_touch_usd_p50,G_queue_share_p50
ADA,0.163,12.0,7.295,1.178,2.144,8733,1306.2,934963.66,0.2206,6.686,9.87,0.36,0.201,2756.2,0.1536
TAO,199.113,98.0,4.89,0.687,1.73,10460,1564.5,399269.27,0.4953,6.686,9.87,0.2259,0.052,878.3,0.3628
TIA,0.4026,55.0,13.899,2.248,4.483,2591,387.5,144708.08,0.3015,6.686,58.93,0.5098,0.333,595.3,0.4565
VIRTUAL,0.6092,83.0,13.856,1.255,5.292,5403,808.1,231918.97,0.3032,6.686,51.15,0.3112,0.249,4988.4,0.0911
